"organism","project_home","project","n_samples","study_title","study_abstract"
"human","data_sources/sra","SRP055918",80,"Evaluating intra- and inter-individual variation in the human placental transcriptome","Background: Gene expression variation is a phenotypic trait of particular interest as it represents the initial link between genotype and other phenotypes. Analyzing how such variation apportions among and within groups allows for the evaluation of how genetic and environmental factors influence such traits. It also provides opportunities to identify genes and pathways that may have been influenced by non-neutral processes. Here we use a population genetics framework and next generation sequencing to evaluate how gene expression variation is apportioned among four human groups in a natural biological tissue, the placenta. Results: We estimate that on average, 33.2%, 58.9% and 7.8% of the placental transcriptome is explained by variation within individuals, among individuals and among human groups, respectively.  Additionally, when technical and biological traits are included in models of gene expression they account for roughly 2% of total gene expression variation. Notably, the variation that is significantly different among groups is enriched in biological pathways associated with immune response, cell signaling and metabolism. Many biological traits demonstrated correlated changes in expression in numerous pathways of potential interest to clinicians and evolutionary biologists. Finally, we estimate that the majority of the human placental transcriptome (65% of expressed genes) exhibits expression profiles consistent with neutrality; the remainder are consistent with stabilizing selection (26%), directional selection (4.9%), or diversifying selection (4.8%). Conclusion: We apportion placental gene expression variation into individual, population and biological trait factors and identify how each influence the transcriptome. Additionally, we advance methods to associate expression profiles with different forms of selection. Overall design: Placental mRNA was sequenced on an Illumina GAIIx. Samples were derived from 4 human groups, 10 individuals per group, 2 samples per individual"
"human","data_sources/sra","ERP017318",753,"Liver_heterogeneity","This study aims to obtain a deeper understanding of the human liver fucntioning by characterizing the transcriptomic landscape of single cells"
"human","data_sources/sra","SRP067618",145,"Integrated Cell Expression Toolkit:RNAseq from limiting amounts of input","Several methods exist for constructing sequencing libraries from single-cell amounts of RNA. However, different library preparation methods are required to enable full length or strand specific 3’ end profiling. The Integrated Cell Expression Toolkit (ICE-T) maximizes functionality by integrating these approaches with novel strategies that provide a range of profiling options."
"human","data_sources/sra","SRP114518",91,"Genomic signatures of platinum re-sensitization in ovarian cancer [RNA-Seq]","Epigenetic changes, particularly DNA methylation aberrations have been implicated in acquired resistance to platinum in ovarian cancer. A multi-institutional randomized clinical trial compared a regimen of a DNA methyl transferase (DNMT) inhibitor guadecitabine and carboplatin to physician's choice chemotherapy for patients with recurrent platinum resistant ovarian cancer. Tumor biopsies or malignant ascites were collected at day 1 of cycle 1 (pre-guadecitabine) and after two cycles of treatment (post-decitabine). The goal of the current study was to analyze guadecitabine-induced DNA methylation and gene expression changes and correlate pretreatment levels with clinical outcomes. Epigenomic and transcriptomic profiling using the Infinium HumanMethylation450 BeadChip (HM450) and RNA sequencing revealed extensive methylation and gene expression changes induced by guadecitabine in ovarian tumors. Ninety-four gene promoters were significantly hypomethylated after treatment with guadecitabine and 949 genes were differentially expressed in pre vs. post-treatment tumors. Pathways associated with immune reactivation and DNA repair were significantly altered by guadecitabine treatment.  Expression levels of 1155 genes involved in 25 networks on day 1 of cycle 1 correlated with progression free survival. Increased expression of selected genes (e.g. DOK2, miR193a) silenced through promoter methylation restored platinum sensitivity in ovarian cancer cells.  Together, these results support that guadecitabine altered DNA methylation and expression of genes and gene networks correlate with re-sensitization to carboplatin in ovarian cancer patients. Overall design: 93 samples are analyzed, including tumor samples collected from patients with platinum resistant ovarian cancer before treated by guadecitabine and after treated by guadecitabine."
"human","data_sources/sra","SRP066118",54,"Generation of Patient-Matched Malignant and Normal Primary Cell Cultures from Clear Cell Renal Cell Carcinoma Patients","Transcriptome profiling of de novo-derived ccRCC cell cultures and their matching parental tumours.  VHL-mutant and VHL wild-type cultures were established by isolating CA9+ and CA9- cells from tumor samples using FACS. Overall design: RNASeq expression profiling of 18 renal cell carcinoma samples, including 6 patient tumours, 6 VHL mutant and 6 VHL WT derivative cell cultures"
"human","data_sources/sra","ERP109918",168,"Bulk RNA-seq of of human dermal fibroblasts from up to 66 individuals (supplementary)","Dermal fibroblasts from up to 66 human donors, stimulated with dsRNA (poly I:C) in a time course of 0, 2, 6 hours, profiled using the Smart-seq2 protocol. Donor fibroblast samples were supplied by the Hipsci consortium."
"human","data_sources/sra","SRP074581",50,"Expression data of intestinal epithelial isolates from rectosigmoid tissue in HIV-infected and control patients.","Background: Prior analyses of mRNA expression in intestinal tissue as related to HIV cohorts has been on whole biopsies. More targeted isolation and enrichment of intestinal epithelial cells is needed to identify pathways specifically altered in the epithelium that may not be picked up at a global tissue scale. Results: Analysis of intestinal epithelial cells isolated from primary human tissues taken from HIV-infected cohorts as well as uninfected controls. Results demonstrate key genes differentially expressed in HIV in the absence or presence of ART-therapy. Overall design: Cross-sectional sampling and comparison of epithelial isolates from 9 uninfected, 6 viremic untreated, and 19 HIV-infected ART-treated patients. Whole biopsy RNA from 5 uninfected, 6 viremic untreated, and 5 HIV-infected ART-treated patients."
"human","data_sources/sra","SRP066781",3854,"Single-cell indexed RNA-Seq of human hematopoietic stem and progenitors","To characterize early human hematopoiesis on a single-cell level we developed an approach termed index-omics, which combines flow-cytometric, single-cell transcriptomic and single-cell lineage fate data. Healthy human bone marrow was labeled with a panel of up to 11 FACS surface markers commonly used to identify human hematopoietic stem and progenitor cells (HSPCs). Lin-CD34+38+ progenitors and Lin-CD34+CD38- stem cell enriched HSPCs were individually sorted, their surface marker fluorescence intensities recorded, and subjected to single-cell RNAseq or single-cell ex vivo cultures. Overall design: For transcriptomics, human bone marrow was stained with antibodies against Lineage markers (CD4, CD8, CD11b, CD14, CD19, CD20, CD56 and CD235a), CD7, CD10, CD34, CD38, CD45RA, CD49f, CD90 and CD135. For individual 1, 8 96-well plates of Lin-cd34+cd38+ and 6 96 well plates of Lin-cd34+cd38- cells were sorted into lysis buffer and subjected to a modified smart-seq2 protocol. For individual 2, 4 96-well plates of Lin-cd34+cd38+, 7 plates of Lin-cd34+cd38- and 1 plate of Lin-cd34+cd38-cd45RA-cd90+ were sorted into lysis buffer and subjected to QUARTZ Seq (Sasagawa et al 2013). For single-cell culture, human bone marrow from a third individual was stained with antibodies against CD2, CD34, CD38, CD45RA, CD71, CD90, CD130, CD135, FCER1A, KEL and a Lineage cocktail as above, plus CD10. Lineage output was then determined by automated FACS following prolonged ex-vivo cultivation. The files transcriptomics_raw_filtered_I1.csv and transcriptomics_raw_filtered_I2.csv contain the raw read counts for the cells that passed quality control. transcriptomics_normalized_filtered_I1.csv and transcriptomics_raw_filtered_I2.csv contain the readcounts normalized by posterior odds ratio (POR) as described in our manuscript. The files transcriptomics_facs_indeces_filtered_I1.csv and transcriptomics_facs_indeces_filtered_I2.csv contain the FACS surface marker expression for the cells that passed filter. Additionally, FACS surface marker expression is given as a characteristic of each sample. The file culture_data.csv contains the FACS surface marker expression, quantification of cell types in the mature colony, and scoring of colony type of the cells that were subjected to ex-vivo culture."
"human","data_sources/sra","SRP111481",96,"Transcriptomic and genomic profiling of early-stage ovarian carcinomas associated with histotype and overall survival [RNA-Seq]","Ovarian cancer is the most lethal gynecological malignancy in the western world. Despite recent efforts to characterize ovarian cancer using molecular profiling, few targeted treatment options are currently available. Here, we examined genetic variants, fusion transcripts, SNP genotyping, and gene expression patterns for early-stage (I, II) ovarian carcinomas (n=96) in relation to clinicopathological characteristics and clinical outcome, thereby identifying novel genetic features of ovarian carcinomas. Furthermore, mutation frequencies of specific genetic variants and/or their gene expression patterns were associated with histotype and overall survival, e.g. SLC28A2 (mucinous ovarian carcinoma histotype), ARCN1 (low expression in 0-2 year survival group), and tumor suppressor MTUS1 (mutation status and overall survival). The long non-coding RNA MALAT1 was identified as a highly promiscuous fusion transcript in ovarian carcinoma. Moreover, gene expression deregulation for 23 genes was associated with tumor aggressiveness. Taken together, the novel biomarkers identified here may improve ovarian carcinoma subclassification and patient stratification according to histotype and overall survival. Overall design: Whole-transcriptome RNA sequencing (RNA-seq) was performed for 96 early-stage primary invasive ovarian carcinomas."
"human","data_sources/sra","SRP094781",109,"Molecular portraits of tumor mutational and micro-environmental sculpting by immune checkpoint blockade therapy","Immune checkpoint blockade (ICB) has demonstrated significant promise for the treatment of advanced malignancies. Anti-CTLA4 and ant-PD1 therapy can activate the immune system and result in durable control in diseases such as melanoma and non-small cell lung cancer. Overall design: 109 RNASeq samples (58 On-treatment and 51 Pre-treatment) from 65 patients"
"human","data_sources/sra","SRP061881",56,"RNA-sequencing of cells derived from the site of inflammation of Juvenile Idiopathic Arthritis patients","Through RNA sequencing of CD4+ Tmemory/effector cells derived from the synovium of JIA patients and healthy controls, we analyzed the JIA gene expression signature. Treatment of autoinflammatory site-derived patient T cells with the BET-inhibitor JQ1 inhibited immune-related super-enhancers and preferentially reduced disease-associated gene expression, including cytokine-related processes. Overall design: RNA-sequencing of CD4+ memory/effector T cells derived from Healthy Controls (HC) and JIA patients upon JQ1 treatment."
"human","data_sources/sra","SRP109781",57,"RNA-seq of chordoma of skull base and spine","Transcriptome analysis and comparison of human skull base and spine chordoma to find disease biomarkers, drivers and to improve the understanding of this disease."
"human","data_sources/sra","SRP179781",335,"Digital gene expression (DGE) based transcript profiling of CDK inhibitors","We compare differences in gene expression induced after 6 hours of exposure to one of three CDK4/6 inhibitors or a pan-CDK inhibitor Overall design: mRNA levels for 7 breast cancer cell lines or PDX models treated with one of three CDK4/6 inhibitors (abemaciclib, palbociclib, or ribociclib)  at 4 concentrations (0.1, 0.3, 1, 3 um) or the pan-CDK inhibitor alvocidib at 2 concentrations (0.1, 1 um) in triplicate."
"human","data_sources/sra","SRP193981",151,"Total RNA sequencing of a time course treatment of human embryonic stem cells with CHIR99021, recombinant Wnt3a, and a time course activation of constitutively active beta-catenin expression","Here we analysed the transcriptomic response of human embryonic stem cell line H9 to sustained activation of the canonical Wnt pathway by eiother treating cells with CHIR99021 or recombinant Wnt3a or inducing the overexpression of constitutively active beta-catenin mutant Overall design: hESC cell line H9 was treated with 10 µM CHIR99021 or 240 ng/ml of rWnt3a. In parallel, H9 line with stable integration of doxycycline-regulatable deltaN90 mutant of beta-catenin was treated with 1 µg/ml of Doxycycline. Cells were collected at time points 0 hours (undifferentiated cells), 8 hours, 16 hours, 24 hours, 48 hours and 72 hours (additionally 96 and 120 hours for rWnt3a treatment) and subjected to total RNA sequencing using Illumina platform."
"human","data_sources/sra","SRP058181",73,"mRNA-Seq expression and MS3 proteomics profiling of human post-mortem BA9 brain tissue for Parkinson Disease and neurologically normal individuals","Parkinson disease (PD) is a neurodegenerative disease characterized by the accumulation of alpha-synuclein (SNCA) and other proteins in aggregates termed “Lewy Bodies” within neurons. PD has both genetic and environmental risk factors, and while processes leading to aberrant protein aggregation are unknown, past work points to abnormal levels of SNCA and other proteins. Although several genome-wide studies have been performed for PD, these have focused on DNA sequence variants by genome-wide association studies (GWAS) and on RNA levels (microarray transcriptomics), while genome-wide proteomics analysis has been lacking. After appropriate filters, proteomics identified 3,558 unique proteins and 283 of these (7.9%) were significantly different between PD and controls (q-value<0.05). RNA-sequencing identified 17,580 protein-coding genes and 1,095 of these (6.2%) were significantly different (FDR p-value<0.05), but only 166 of the FDR significant protein-coding genes (0.94%) were present among the 3,558 proteins characterized. Of these 166, eight genes (4.8%) were significant in both studies, with the same direction of effect. Functional enrichment analysis of the proteomics results strongly supports mitochondrial-related pathways, while comparable analysis of the RNA-sequencing results implicates protein folding pathways and metallothioneins. Ten of the implicated genes or proteins co-localized to GWAS loci. Evidence implicating SNCA was stronger in proteomics than in RNA-sequencing analyses. Notably, differentially expressed protein-coding genes were more likely to not be characterized in the proteomics analysis, which lessens the ability to compare across platforms. Combining multiple genome-wide platforms offers novel insights into the pathological processes responsible for this disease by identifying pathways implicated across methodologies. Overall design: The study consists of mRNA-Seq (29 PD, 44 neurologically normal controls) and three-stage Mass Spectrometry Tandem Mass Tag Proteomics (12 PD, 12 neurologically normal controls) performed in post-mortem BA9 brain tissue. The proteomics samples are a subset of the RNA-Seq samples."
"human","data_sources/sra","SRP010181",520,"Derivation of HLA types from shotgun sequence datasets","The human leukocyte antigen (HLA) is key to many aspects of human physiology and medicine. All current sequence-based HLA typing methodologies are targeted approaches requiring the amplification of specific HLA gene segments. Whole genome, exome and transcriptome shotgun sequencing can generate prodigious data but due to the complexity of HLA loci these data have not been immediately informative regarding HLA genotype. We describe HLAminer, a computational method for identifying HLA alleles directly from shotgun sequence datasets (http://www.bcgsc.ca/platform/bioinfo/software/hlaminer). This approach circumvents the additional time and cost of generating HLA-specific data and capitalizes on the increasing accessibility and affordability of massively parallel sequencing."
"human","data_sources/sra","SRP127581",454,"Transcriptomic analyses reveal rhythmic and CLOCK-driven pathways in human skeletal muscle ","The circadian regulation of transcriptional processes has a broad impact on cell metabolism. Here, we compared the diurnal transcriptome of human skeletal muscle conducted on serial muscle biopsies in vivo with profiles of human skeletal myotubes synchronized in vitro. Extensive rhythmic transcription was observed in human skeletal muscle in comparison to in vitro cell culture. However, nearly half of the in vivo rhythmicity was lost at the mRNA accumulation level. siRNA-mediated clock disruption in primary myotubes significantly affected the expression of ~8% of all genes, with impact on glucose homeostasis and lipid metabolism. Genes involved in GLUT4 expression, translocation and recycling were negatively affected, whereas lipid metabolic genes were altered to promote activation of lipid utilization. Moreover, basal and insulin stimulated glucose uptake were significantly reduced upon CLOCK depletion. Altogether, our findings suggest an essential role for cell-autonomous circadian clocks in coordinating muscle glucose homeostasis and lipid metabolism in humans. Overall design: 10 candidates with 6 biopsies each for a total of 57 samples being sequenced. Together with GSE109825, part of the same study described above."
"human","data_sources/sra","SRP091981",109,"Transcriptome dynamics of CLK dependent exon recognition and conjoined gene formation revealed with a novel small molecule inhibitor","Here we describe a highly selective novel CLK small molecule inhibitor with high specificityto CLK1/CLK2/CLK3 protein isoforms and favourable stability and in vivo activity, called T3. We show that CLK dependent reactions occur in distinct genomic sequencecontexts with sequence-encoded features that are relatively conserved between different epithelial cell types. We also reveal an unexpected role for CLK proteins in suppression of conjoined gene (CG) transcription, implicating CLK in 3' end processing of transcripts."
